[1, 3, 8, 9, 19, 25, 27, 35]
[1, 5, 10, 18, 22, 27, 29, 31]
[7, 13, 16, 23, 24, 25, 29, 37]
[5, 9, 15, 17, 21, 23, 26, 34]
[3, 8, 11, 18, 19, 25, 31, 32]
[2, 4, 8, 11, 21, 26, 28, 36]
[5, 8, 9, 10, 12, 29, 33, 36]
[10, 12, 13, 17, 19, 20, 29, 37]
[5, 9, 10, 13, 16, 18, 22, 31]
[4, 5, 9, 17, 19, 20, 26, 34]
[1, 5, 8, 13, 14, 16, 26, 32]
[4, 11, 12, 14, 15, 18, 19, 24]
[1, 3, 7, 9, 16, 27, 30, 33]
[2, 5, 13, 16, 20, 31, 32, 33]
[2, 3, 7, 8, 11, 21, 32, 36]
[7, 8, 13, 23, 29, 31, 32, 35]
[5, 10, 12, 13, 18, 22, 26, 32]
[1, 10, 15, 18, 19, 34, 35, 37]
[4, 8, 11, 18, 21, 26, 34, 35]
[4, 6, 12, 19, 23, 30, 32, 34]
[9, 12, 13, 14, 21, 28, 29, 37]
[1, 4, 14, 16, 19, 21, 29, 32]
[9, 10, 11, 15, 21, 25, 30, 35]
[2, 6, 9, 16, 18, 21, 22, 36]
[1, 11, 14, 15, 18, 24, 27, 33]
[3, 8, 22, 23, 27, 28, 32, 33]
[1, 7, 9, 10, 12, 14, 25, 29]
[1, 9, 11, 22, 24, 30, 31, 34]
[5, 8, 9, 14, 18, 29, 31, 36]
[14, 16, 23, 27, 31, 32, 35, 37]
[2, 3, 14, 20, 22, 25, 30, 32]
[1, 2, 5, 11, 17, 18, 23, 29]
[4, 7, 8, 10, 13, 15, 17, 22]
[3, 6, 8, 14, 21, 31, 35, 37]
[1, 2, 6, 11, 17, 28, 36, 37]
[5, 7, 17, 20, 24, 25, 30, 36]
[3, 15, 22, 26, 29, 31, 35, 37]
[11, 15, 24, 27, 29, 30, 31, 33]
[9, 17, 23, 25, 28, 32, 36, 37]
[6, 7, 9, 16, 20, 31, 33, 36]
[4, 12, 18, 22, 23, 26, 34, 35]
[2, 5, 7, 9, 13, 20, 33, 35]
[2, 4, 9, 25, 27, 29, 35, 37]
[3, 13, 14, 23, 24, 29, 32, 34]
[4, 18, 22, 26, 29, 35, 36, 37]
[9, 15, 16, 22, 23, 31, 32, 33]
[6, 7, 18, 19, 25, 28, 32, 36]
[9, 13, 16, 17, 18, 23, 27, 36]
[5, 22, 24, 26, 27, 28, 31, 37]
[1, 2, 5, 8, 12, 15, 26, 29]
