[3, 4, 10, 11, 13, 27, 40]
[1, 2, 4, 13, 17, 19, 21]
[6, 11, 12, 19, 28, 31, 39]
[5, 10, 17, 19, 21, 24, 34]
[3, 9, 11, 15, 19, 38, 42]
[1, 19, 29, 30, 31, 34, 40]
[1, 7, 11, 15, 18, 21, 42]
[2, 4, 8, 20, 25, 33, 35]
[2, 5, 23, 28, 31, 32, 44]
[1, 3, 4, 13, 22, 23, 31]
[12, 14, 15, 29, 34, 37, 41]
[1, 14, 16, 20, 27, 39, 41]
[4, 9, 13, 17, 23, 29, 32]
[4, 9, 22, 30, 31, 35, 44]
[4, 5, 15, 25, 27, 28, 30]
[3, 8, 17, 26, 32, 33, 39]
[2, 10, 24, 29, 31, 34, 35]
[8, 13, 21, 35, 38, 43, 44]
[2, 3, 17, 18, 19, 20, 21]
[3, 10, 17, 20, 30, 34, 40]
[3, 8, 27, 28, 31, 40, 44]
[8, 14, 21, 24, 25, 36, 44]
[5, 6, 21, 22, 23, 28, 34]
[6, 12, 15, 16, 31, 33, 40]
[8, 21, 23, 25, 30, 38, 39]
[18, 20, 21, 22, 27, 35, 39]
[8, 15, 18, 20, 21, 28, 30]
[12, 16, 32, 38, 40, 41, 43]
[2, 14, 17, 23, 29, 32, 35]
[12, 24, 27, 28, 29, 30, 45]
[4, 9, 14, 24, 29, 35, 43]
[2, 12, 16, 17, 18, 29, 35]
[10, 15, 16, 24, 31, 40, 43]
[4, 5, 8, 9, 21, 37, 38]
[4, 5, 16, 18, 24, 33, 36]
[2, 5, 14, 21, 25, 27, 37]
[2, 6, 8, 19, 23, 25, 45]
[20, 21, 22, 26, 28, 37, 39]
[4, 6, 12, 14, 27, 34, 40]
[1, 5, 17, 22, 36, 37, 41]
[2, 24, 26, 34, 35, 36, 41]
[7, 10, 11, 16, 19, 31, 38]
[2, 3, 14, 22, 25, 33, 34]
[7, 9, 10, 15, 19, 42, 45]
[4, 8, 27, 39, 41, 42, 45]
[2, 3, 7, 16, 25, 28, 30]
[13, 16, 21, 27, 31, 37, 45]
[10, 12, 15, 29, 30, 31, 37]
[9, 25, 26, 27, 33, 34, 42]
[4, 20, 22, 23, 32, 36, 39]
[8, 13, 19, 30, 32, 36, 45]
[3, 9, 19, 29, 33, 35, 36]
[8, 13, 14, 21, 26, 34, 44]
[18, 24, 25, 26, 35, 37, 43]
[1, 6, 8, 14, 17, 18, 24]
[6, 10, 13, 17, 21, 23, 45]
[2, 4, 18, 23, 24, 31, 38]
[3, 5, 11, 22, 23, 28, 35]
[5, 6, 9, 17, 21, 23, 32]
[2, 10, 13, 18, 30, 32, 37]
[2, 16, 25, 33, 38, 42, 45]
[2, 7, 16, 19, 26, 27, 42]
[8, 16, 22, 23, 32, 38, 40]
[7, 11, 16, 29, 31, 33, 43]
[8, 9, 13, 20, 28, 33, 35]
[5, 7, 15, 26, 29, 30, 42]
[1, 6, 13, 27, 32, 42, 43]
[10, 11, 30, 34, 37, 40, 42]
[8, 10, 13, 26, 27, 36, 45]
[1, 5, 6, 7, 23, 27, 42]
[4, 7, 11, 16, 24, 33, 36]
[8, 13, 18, 19, 23, 36, 37]
[2, 16, 19, 22, 35, 41, 43]
[3, 7, 15, 26, 36, 42, 44]
[16, 19, 22, 24, 39, 40, 44]
[3, 5, 15, 25, 26, 30, 41]
[9, 12, 25, 31, 34, 36, 44]
[1, 10, 12, 21, 22, 36, 45]
[5, 9, 10, 11, 14, 15, 17]
[4, 12, 13, 16, 20, 32, 39]
[6, 13, 18, 23, 25, 31, 38]
[3, 10, 11, 19, 20, 30, 31]
[5, 9, 34, 36, 39, 41, 43]
[7, 8, 19, 21, 29, 40, 44]
[2, 4, 6, 15, 23, 38, 41]
[3, 8, 15, 24, 34, 35, 40]
[2, 4, 7, 9, 39, 41, 44]
[12, 20, 22, 23, 26, 32, 36]
[11, 19, 24, 29, 38, 39, 43]
Total Lines : 89
Required Lines : 89
{1=10, 2=19, 3=15, 4=18, 5=15, 6=12, 7=12, 8=19, 9=14, 10=15, 11=12, 12=12, 13=16, 14=11, 15=15, 16=17, 17=13, 18=12, 19=18, 20=12, 21=19, 22=14, 23=18, 24=15, 25=14, 26=12, 27=15, 28=11, 29=14, 30=15, 31=17, 32=13, 33=11, 34=15, 35=15, 36=15, 37=11, 38=12, 39=13, 40=13, 41=11, 42=12, 43=10, 44=11, 45=10}

Process finished with exit code 0
